artist_id,artist_name,artist_popularity,total_followers,artist_genre
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,80,5655509,acoustic
2Sqr0DXoaYABbjBo9HaMkM,Sara Bareilles,75,1521757,acoustic
610EjgFatGvVPtib97jQ8G,NEEDTOBREATHE,72,611481,acoustic
4AapPt7H6bGH4i7chTulpI,Ben Rector,70,256138,acoustic
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat,75,1974147,acoustic
6DoH7ywD5BcQvjloe9OcIj,Ray LaMontagne,71,804480,acoustic
5DYAABs8rkY9VhwtENoQCz,Gavin DeGraw,70,1063047,acoustic
4M5nCE77Qaxayuhp3fVn4V,Iron & Wine,71,915345,acoustic
2sG4zTOLvjKG1PSoOyf5Ej,Brandi Carlile,69,448239,acoustic
5D3muNJhYYunbRkh3FKgX0,Chord Overstreet,72,73741,acoustic
3RMHexittaAZkf8zukkZB8,Trevor Hall,67,252199,acoustic
2vm8GdHyrJh2O2MfbQFYG0,Ingrid Michaelson,67,690065,acoustic
7h4j9YTJJuAHzLCc3KCvYu,Kina Grannis,72,412884,acoustic
3aBkeBhwadnWMWoVJ2CxJC,Rob Thomas,67,601239,acoustic
2NQEwAVHBNcI0tGMLlWwF1,Mat Kearney,63,421208,acoustic
4NGiEU3Pkd8ASRyQR30jcA,Matt Nathanson,63,313425,acoustic
4igDSX1kgfWbVTDCywcBGm,Johnnyswim,63,184428,acoustic
4IDpDJIDfK96HMLD4Tphyl,AJJ,61,154461,acoustic
0QrowybipCKUDnq5y10PD2,Amos Lee,64,363054,acoustic
6J7rw7NELJUCThPbAfyLIE,The Civil Wars,65,751420,acoustic
7FgMLbnZVrEnir95O0YujA,Five For Fighting,64,594646,acoustic
2PCUhxD40qlMqsKHjTZD2e,Parachute,64,537877,acoustic
3w6zswp5THsSKYLICUbDTZ,Gabrielle Aplin,70,580451,acoustic
0rpMdBzQXf7aYRnu5fDBJy,Violent Femmes,61,447778,acoustic
7dq8KEwf0kQXJhM79iwcPh,JJ Heller,63,67416,acoustic
5zuqnTZOeJzI0N0yQ7XA7I,Ruston Kelly,59,33850,acoustic
65o6y7GtoXzchyiJB3r9Ur,Penny and Sparrow,60,71506,acoustic
16QSVsPKl743hu4U5C18R8,Josh Garrels,61,183137,acoustic
0mXTJETA4XUa12MmmXxZJh,Eddie Vedder,68,1145837,acoustic
6CmXhyslohOFRJMtPpRm4O,Ron Pope,64,244697,acoustic
4SOtk3HtPYKqxnVuxNBMti,Donovan Woods,64,50837,acoustic
4RwbDag6jWIYJnEGH6Wte9,Drew Holcomb & The Neighbors,59,94990,acoustic
0L6Gwm0JDrgIQJfjarWSUR,Edwin McCain,62,215315,acoustic
4TCXgdDPm10ensLNCVnIYa,Joy Williams,63,92629,acoustic
7J2lZBANizgPNfUzux31PV,David Gray,66,460136,acoustic
26DytDdxKgr9N0tdrBSLs2,Wilder Woods,58,28773,acoustic
7m60UAnbgFFNuJbmS6OxTk,Sister Hazel,57,227960,acoustic
0ekbDNE2eOq8QiaXM34wer,Howie Day,61,253056,acoustic
14r9dR01KeBLFfylVSKCZQ,Damien Rice,67,893537,acoustic
0FC1LIeQXKib0jOwZqeIwT,Brett Dennen,58,160646,acoustic
27M9shmwhIjRo7WntpT9Rp,Frank Turner,61,291059,acoustic
2JMtxA2S9SNUlqBlkDtXm6,The National Parks,57,53219,acoustic
3UAk61T8PItbpgEi9u7ofY,Andrew Belle,60,172248,acoustic
34482S5nfxR441wcnVfrHi,Noah Gundersen,57,116746,acoustic
4UXiNDHAiv8DOSLkp0GbSm,Front Porch Step,53,131176,acoustic
25mrbNwFzoqPWyYXLhiDRw,Alexi Murdoch,59,210700,acoustic
6igfLpd8s6DBBAuwebRUuo,Josh Ritter,58,129618,acoustic
07FfkbljNIdl45Ijlh1aXS,RHODES,64,89708,acoustic
0syIRg9MPSpJIC0QCPUaHB,Beta Radio,59,48766,acoustic
4LoM3lMauQ540MW9QiyIcR,Anna Nalick,56,120633,acoustic
0yNSzH5nZmHzeE2xn6Xshb,Calle 13,74,2338579,afrobeat
6LufpoVlIYKQCu9Gjpk8B7,Sharon Jones & The Dap-Kings,61,206723,afrobeat
4YHtIE7FI8ITfekzzN5Jpl,Shuggie Otis,60,98025,afrobeat
1PryMSya1JnSAlcwYawCxp,Menahan Street Band,60,92777,afrobeat
5q4eLKmqFVP0xII8087PHz,The Budos Band,57,115710,afrobeat
2JRvXPGWiINrnJljNJhG5s,The Meters,59,174202,afrobeat
0cLrgpG3pW4MX4nD8h6qCc,El Michels Affair,57,93325,afrobeat
7HGFXtBhRq3g1Ma3nH4Rgv,Mulatu Astatke,57,133807,afrobeat
6R9Mv0bgGE4Tqxna1q5Mrj,Roy Ayers,57,142191,afrobeat
2bToe6WyGvADJftreuXh2K,Lee Fields & The Expressions,57,113163,afrobeat
